City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,chui,-33.6971,-53.4616,292.05,89,100,2.86,UY,1684993546
312,viitasaari,63.0667,25.8667,279.13,92,100,6.26,FI,1684993546
313,salalah,17.0151,54.0924,305.2,66,40,6.17,OM,1684993546
314,siwa oasis,29.2041,25.5195,297.81,45,21,8.93,EG,1684993546
315,pangai,-19.8,-174.35,297.21,69,40,1.03,TO,1684993547
316,east london,-33.0153,27.9116,295.67,33,0,2.57,ZA,1684993547
317,esmeraldas,-19.7625,-44.3139,291.63,96,1,2.51,BR,1684993547
318,belyy yar,53.6039,91.3903,287.09,26,0,5.0,RU,1684993547
319,viedma,-40.8135,-62.9967,283.0,44,25,5.32,AR,1684993548
320,fada,9.5667,8.3,295.9,84,78,0.16,NG,1684993548
321,puerto santa,-8.9906,-78.6456,295.01,86,99,4.44,PE,1684993548
322,invercargill,-46.4,168.35,286.02,74,94,3.38,NZ,1684993346
323,hasaki,35.7333,140.8333,298.31,54,97,4.65,JP,1684993548
324,ta`u,-14.2336,-169.5144,300.78,75,51,1.1,AS,1684993549
325,punta arenas,-53.15,-70.9167,275.21,75,0,5.66,CL,1684993549
326,copala,16.65,-98.9833,300.97,73,93,2.07,MX,1684993549
327,masterton,-40.9597,175.6575,282.53,96,2,1.53,NZ,1684993549
328,lyantor,61.6195,72.1555,288.88,33,58,5.05,RU,1684993550
329,lerwick,60.1545,-1.1494,282.15,66,35,6.84,GB,1684993550
330,yarmouth,41.7057,-70.2286,285.41,92,100,12.07,US,1684993550
331,cabedelo,-6.9811,-34.8339,297.52,94,25,2.62,BR,1684993550
332,chibougamau,49.9168,-74.3659,274.94,64,0,3.6,CA,1684993550
333,balqash,46.8481,74.995,296.48,21,20,4.0,KZ,1684993551
334,waegwan,35.9917,128.3973,301.2,29,19,2.77,KR,1684993551
335,lethem,3.3803,-59.7968,298.36,88,96,2.5,GY,1684993551
336,porto novo,6.4965,2.6036,299.05,91,100,2.53,BJ,1684993551
337,maumere,-8.6199,122.2111,302.02,68,59,2.98,ID,1684993552
338,ouani,-12.1322,44.4258,299.83,64,7,3.98,KM,1684993552
339,port moresby,-9.4431,147.1797,298.83,94,100,5.14,PG,1684993552
340,bokoro,12.3807,17.0568,307.09,35,74,3.15,TD,1684993552
341,kirakira,-10.4544,161.9205,301.08,77,100,2.56,SB,1684993552
342,san juan de los morros,9.9115,-67.3538,295.71,90,55,1.02,VE,1684993553
343,san antonio,29.4241,-98.4936,297.13,74,0,3.6,US,1684993432
344,montefrio,37.3231,-4.009,283.33,76,15,0.85,ES,1684993553
345,manokwari,-0.8667,134.0833,302.05,73,97,3.58,ID,1684993553
346,el calafate,-50.3408,-72.2768,272.96,76,59,0.95,AR,1684993553
347,yuzhno-kurilsk,44.0306,145.8556,283.86,77,0,2.61,RU,1684993554
348,cuatro cienegas de carranza,26.9833,-102.0833,299.42,62,93,2.84,MX,1684993554
349,wenchang,30.904,118.4887,301.37,51,37,0.16,CN,1684993554
350,tazacorte,28.629,-17.9293,290.69,79,75,3.13,ES,1684993554
351,giddings,30.1827,-96.9364,294.78,88,100,0.0,US,1684993555
352,agios nikolaos,35.1914,25.7133,291.35,79,0,1.69,GR,1684993555
353,muravlenko,63.7898,74.523,284.97,37,0,2.81,RU,1684993555
354,atafu village,-8.5421,-172.5159,301.15,71,90,0.91,TK,1684993555
355,tsiombe,-25.3,45.4833,294.81,51,0,4.71,MG,1684993555
356,hadibu,12.65,54.0333,303.59,60,30,0.42,YE,1684993556
357,salekhard,66.53,66.6019,291.59,48,7,6.11,RU,1684993556
358,sahaswan,28.0833,78.75,307.74,32,44,1.01,IN,1684993556
359,sao joao da barra,-21.6403,-41.0511,293.51,87,8,2.36,BR,1684993556
360,al jawf,29.5,38.75,301.09,17,6,1.4,SA,1684993556
